cellnum,loopindex,ptype,rowz,colz,rowg,colg
25,1,fav,0,0,w,w
26,2,net,0,0,w,b
27,3,net,0,0,w,h
28,4,blank,0,1,w,w
29,5,itt,0,1,w,b
30,6,itt,0,1,w,h
31,7,blank,0,2,w,w
32,8,itt,0,2,w,b
33,9,itt,0,2,w,h
34,10,net,0,0,b,w
35,11,fav,0,0,b,b
36,12,net,0,0,b,h
37,13,itt,0,1,b,w
38,14,blank,0,1,b,b
39,15,itt,0,1,b,h
40,16,itt,0,2,b,w
41,17,blank,0,2,b,b
42,18,itt,0,2,b,h
43,19,net,0,0,h,w
44,20,net,0,0,h,b
45,21,fav,0,0,h,h
46,22,itt,0,1,h,w
47,23,itt,0,1,h,b
48,24,blank,0,1,h,h
49,25,itt,0,2,h,w
50,26,itt,0,2,h,b
51,27,blank,0,2,h,h
52,28,blank,1,0,w,w
53,29,itt,1,0,w,b
54,30,itt,1,0,w,h
55,31,fav,1,1,w,w
56,32,net,1,1,w,b
57,33,net,1,1,w,h
58,34,blank,1,2,w,w
59,35,itt,1,2,w,b
60,36,itt,1,2,w,h
61,37,itt,1,0,b,w
62,38,blank,1,0,b,b
63,39,itt,1,0,b,h
64,40,net,1,1,b,w
65,41,fav,1,1,b,b
66,42,net,1,1,b,h
67,43,itt,1,2,b,w
68,44,blank,1,2,b,b
69,45,itt,1,2,b,h
70,46,itt,1,0,h,w
71,47,itt,1,0,h,b
72,48,blank,1,0,h,h
73,49,net,1,1,h,w
74,50,net,1,1,h,b
75,51,fav,1,1,h,h
76,52,itt,1,2,h,w
77,53,itt,1,2,h,b
78,54,blank,1,2,h,h
79,55,blank,2,0,w,w
80,56,itt,2,0,w,b
81,57,itt,2,0,w,h
82,58,blank ,2,1,w,w
83,59,itt,2,1,w,b
84,60,itt,2,1,w,h
85,61,fav,2,2,w,w
86,62,net,2,2,w,b
87,63,net,2,2,w,h
88,64,itt,2,0,b,w
89,65,blank,2,0,b,b
90,66,itt,2,0,b,h
91,67,itt,2,1,b,w
92,68,blank,2,1,b,b
93,69,itt,2,1,b,h
94,70,net,2,2,b,w
95,71,fav,2,2,b,b
96,72,net,2,2,b,h
97,73,itt,2,0,h,w
98,74,itt,2,0,h,b
99,75,blank,2,0,h,h
100,76,itt,2,1,h,w
101,77,itt,2,1,h,b
102,78,blank,2,1,h,h
103,79,net,2,2,h,w
104,80,net,2,2,h,b
105,81,fav,2,2,h,h
